player,total_games,shots_made,total_shots,shooting%,2pt_made,2pt_attempts,2pt%,3pt_made,3pt_attempts,3pt%,FT_made,FT_Attempts,FT%,total_assists,total_blocks,off_rebound,is_clutch,years_played,clutch_years
George Hill,130,63,174,36.21,40,84,47.62,23,90,25.56,107,153,69.93,24,12,16,0.0,10,1.0
George Lynch,4,1,2,50.0,0,1,0.0,1,1,100.0,0,0,0.0,1,0,1,0.0,1,0.0
Georgios Papagiannis,1,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,,1,0.0
Gerald Green,61,26,72,36.11,16,33,48.48,10,39,25.64,28,34,82.35,20,3,5,0.0,10,0.0
Gerald Henderson,99,54,141,38.3,44,111,39.64,10,30,33.33,55,67,82.09,29,11,15,0.0,8,2.0
Gerald Wallace,178,74,194,38.14,60,135,44.44,14,59,23.73,104,153,67.97,38,18,61,0.0,11,2.0
Giannis Antetokounmpo,100,47,109,43.12,45,93,48.39,2,16,12.5,57,84,67.86,11,5,20,1.0,5,3.0
Gilbert Arenas,120,101,246,41.06,74,162,45.68,27,84,32.14,136,170,80.0,31,19,11,1.0,8,3.0
Glen Davis,63,30,70,42.86,28,60,46.67,2,10,20.0,33,45,73.33,23,5,21,1.0,7,1.0
Glen Rice Jr.,1,0,1,0.0,0,0,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,1,0.0
Glenn Robinson,4,1,2,50.0,1,1,100.0,0,1,0.0,2,4,50.0,1,0,1,0.0,3,0.0
Glenn Robinson III,4,1,3,33.33,1,2,50.0,0,1,0.0,2,4,50.0,1,0,0,0.0,2,0.0
Goran Dragic,147,68,169,40.24,55,125,44.0,13,44,29.55,80,107,74.77,23,8,17,1.0,10,2.0
Gordan Giricek,18,4,18,22.22,4,15,26.67,0,3,0.0,3,4,75.0,3,2,0,0.0,3,0.0
Gordon Hayward,139,77,186,41.4,63,131,48.09,14,55,25.45,134,163,82.21,25,8,20,1.0,7,2.0
Gorgui Dieng,50,24,37,64.86,21,31,67.74,3,6,50.0,17,24,70.83,16,3,22,0.0,5,1.0
Grant Hill,127,67,131,51.15,58,113,51.33,9,18,50.0,63,85,74.12,38,8,27,1.0,9,4.0
Greg Buckner,26,4,14,28.57,3,8,37.5,1,6,16.67,3,4,75.0,3,2,5,0.0,5,0.0
Greg Monroe,111,54,108,50.0,54,107,50.47,0,1,0.0,44,74,59.46,27,13,31,1.0,8,4.0
Greg Oden,10,7,11,63.64,7,11,63.64,0,0,0.0,1,6,16.67,4,1,6,0.0,2,0.0
Greg Ostertag,2,1,2,50.0,1,2,50.0,0,0,0.0,1,2,50.0,1,0,2,0.0,1,0.0
Greg Smith,5,1,1,100.0,1,1,100.0,0,0,0.0,2,2,100.0,1,0,2,0.0,1,0.0
Greg Stiemsma,2,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,1,0,0,0.0,1,0.0
Greivis Vasquez,61,31,92,33.7,20,45,44.44,11,47,23.4,16,21,76.19,10,2,3,0.0,6,1.0
Gustavo Ayon,13,9,12,75.0,9,12,75.0,0,0,0.0,2,4,50.0,8,2,2,0.0,3,0.0
Ha Seung-Jin,1,1,1,100.0,1,1,100.0,0,0,0.0,0,0,0.0,0,0,1,0.0,1,0.0
Hakim Warrick,51,30,54,55.56,29,49,59.18,1,5,20.0,34,45,75.56,20,5,17,0.0,8,1.0
Hamed Haddadi,4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,3,0.0,3,0.0
Harrison Barnes,75,39,98,39.8,31,66,46.97,8,32,25.0,35,44,79.55,18,3,13,0.0,6,2.0
Hassan Whiteside,59,26,42,61.9,26,42,61.9,0,0,0.0,22,37,59.46,19,6,30,0.0,4,1.0
Hedo Turkoglu,164,85,232,36.64,56,126,44.44,29,106,27.36,108,134,80.6,33,10,22,0.0,10,3.0
Henry Ellenson,1,0,0,0.0,0,0,0.0,0,0,0.0,2,2,100.0,0,0,0,,1,0.0
Henry Sims,12,8,12,66.67,7,10,70.0,1,2,50.0,1,2,50.0,5,0,2,0.0,2,0.0
Henry Walker,11,4,11,36.36,1,1,100.0,3,10,30.0,7,8,87.5,4,0,0,0.0,4,0.0
Hilton Armstrong,7,0,3,0.0,0,3,0.0,0,0,0.0,2,4,50.0,0,2,5,0.0,4,0.0
Hollis Thompson,30,16,30,53.33,5,12,41.67,11,18,61.11,6,11,54.55,13,1,2,0.0,4,1.0
Howard Eisley,8,3,13,23.08,2,9,22.22,1,4,25.0,2,2,100.0,1,0,1,0.0,2,0.0
Ian Clark,9,2,5,40.0,2,4,50.0,0,1,0.0,4,4,100.0,1,0,1,0.0,3,0.0
Ian Mahinmi,30,7,14,50.0,7,14,50.0,0,0,0.0,7,21,33.33,5,2,12,0.0,8,0.0
Ike Diogu,7,3,5,60.0,3,5,60.0,0,0,0.0,2,6,33.33,2,0,1,0.0,2,0.0
Iman Shumpert,41,14,32,43.75,8,16,50.0,6,16,37.5,11,17,64.71,6,1,9,0.0,6,0.0
Ime Udoka,33,10,24,41.67,4,11,36.36,6,13,46.15,4,12,33.33,10,0,9,0.0,4,0.0
Ira Newble,8,3,4,75.0,2,3,66.67,1,1,100.0,1,2,50.0,3,0,3,0.0,4,0.0
Isaiah Canaan,23,4,33,12.12,2,14,14.29,2,19,10.53,10,11,90.91,2,5,5,0.0,5,0.0
Isaiah Taylor,6,1,3,33.33,1,2,50.0,0,1,0.0,2,6,33.33,0,0,0,0.0,1,0.0
Isaiah Thomas,127,85,212,40.09,59,136,43.38,26,76,34.21,168,190,88.42,25,25,7,1.0,7,3.0
Isaiah Whitehead,3,1,2,50.0,1,2,50.0,0,0,0.0,1,3,33.33,0,1,0,0.0,1,0.0
Ish Smith,49,35,103,33.98,26,73,35.62,9,30,30.0,12,24,50.0,5,3,9,0.0,6,1.0
Ivan Johnson,8,9,10,90.0,9,10,90.0,0,0,0.0,4,4,100.0,7,0,3,0.0,2,0.0
Ivica Zubac,4,1,1,100.0,1,1,100.0,0,0,0.0,1,2,50.0,1,0,2,0.0,2,0.0
J.J. Barea,15,9,19,47.37,6,8,75.0,3,11,27.27,3,3,100.0,2,1,0,0.0,2,0.0
J.R. Smith,159,82,217,37.79,37,78,47.44,45,139,32.37,72,107,67.29,48,9,21,0.0,12,2.0
